lineId,dialogueLineType,personName,content,eventNames,eventArgs,choiceAtMindBox
99001,Title,,Day 6|骑士授勋,To,99002,
99002,Control,,,To,99003,
99003,Narration,,她把剑抵在我的肩头，我将庄严起誓。,To,99004,
99004,Narration,,辉煌的殿堂里占满了人，宣称要改变西格珥德命运的人们。,To,99005,
99005,Narration,,此刻距离我离开偏僻的家乡，才仅仅过去了一个月。,To,99006,
99006,Narration,,圣钟敲响了十二遍。,To,99007,
99007,Narration,,“……我发誓善待弱者，我发誓勇敢地对抗暴虐。”,To,99008,
99008,Narration,,“我发誓抗击一切错误。”,To,99009,
99009,Narration,,然而我们两个人都不清楚此时此刻，或者所有的一切是为了什么。,To,99010,
99010,Narration,,我们知道了所谓命运的玩笑，只是还没有亲身体会荒谬之处。,To,99011,
99011,Narration,,我们只是各自走到了这里。,To,99012,
99012,Control,,,To,99013,
99013,Control,,Utopia，点击打开百叶窗下一步,To,99014,
99014,Narration,,微妙而恰当的沉默在你们当中盘桓，直到他喝完了杯中的酒。,To,99015,
99015,Narration,警员,嗯……请再给我一杯【新月】,To,99016,
99016,Mind,,他犹豫了片刻，但语气很确定。\n如果你想推销新口味，\n这不是个好时机。,To,99017,
99017,Game,,调酒,To,99018,
99018,Mind,,很幸运，这款酒有完整且准确的配方，你按部就班，很快完成了调制。,To,99019,
99019,Mind,,但显然你的幸运没能持续——,To,99020,
99020,Narration,,你把雪克杯中的酒液导入杯子，\n就像一个魔术，酒液在你的眼皮子底下消失了。,To,99021,
99021,Choose,,（搞什么鬼？）,To,99022,FALSE
99022,Narration,,你下意识地擦拭吧台和酒杯底座，没有，什么都没有，干干净净。\n客人略带疑惑地看着你。怎么办，要上酒吗？,To,99023,
99023,Choose,,上酒,To,99024,FALSE
99024,Choose,,倒掉重来,To,99025,FALSE
99025,Narration,警员,谢谢。,To,99026,
99026,Narration,,他举起酒杯自然地喝了一口，你听到冰块和杯壁相碰的轻响。,To,99027,
99027,Narration,,你太过紧张，以至于没有察觉，\n刚才拿在手中看起来空无一物的酒杯，重量是盛满了酒水的正常重量。,To,99028,
99028,Narration,,新月，严格来说，新月是看不见的，即使新月时月亮仍在原处。,To,99029,
99029,Mind,,发明这款酒品并且写下配方时，你肯定没想过这会吓坏失忆后的自己。,To,99030,
99030,Mind,,那本“比起调酒配方更像是谜语集”的册子里，\n还有多少可笑的小把戏在等着你？\n你开始后悔当个有幽默感的人了。,To,99031,
99031,Mind,,如果这位客人不是偏爱这款酒的味道，那么他就是为你的幽默感捧场的受众。,To,99032,
99032,Mind,,他轻轻地晃动酒杯，\n这个动作对于酒水的味道毫无影响，\n他喜欢听冰块的声音。,To,99033,
99033,Choose,,“你能看见‘新月’吗？”,To,99034,FALSE
99034,Choose,,“你喜欢这款酒。”,To,99035,FALSE
99035,Narration,,你轻声说道，鬼使神差一般。\n没人知道你问的是杯中酒、天上月，还是更加晦涩的、其隐喻的事物。,To,99036,
99036,Mind,,他笑着摇了摇头。,To,99037,
99037,Narration,警员,您能让它隐形，而我只是个普通人，只能赞美和品尝。\n假设一个魔术师的能力刚好是看穿另一个魔术师的把戏，\n那不就和两个普通人没有两样了吗？,To,99038,
99038,Mind,,他不知道，这魔术并非来源于你，\n而是这间酒馆。,To,99039,
99039,Narration,警员,您告诉我它在杯子里，我就会端起来喝下它。规则就是这样。\n老板，有时候我忍不住想，失明的人是不是也必须像这样信任他人？,To,99040,
99040,Control,,黑屏，过2s再点亮,To,99041,
99041,Narration,乞丐,多谢你的好意……但我连赊账都快还不清了。,To,99042,
99042,Narration,乞丐,称得上有价值的就只有这个了。,To,99043,
99043,Collection,,获得收藏品 木剑,To,99044,
99044,Narration,,一柄木刻的剑，不仅粗糙，还残破不堪，像是经历了激烈的打斗。,To,99045,
99045,Choose,,这是从哪来的？,To,99046,FALSE
99046,Choose,,有什么特别之处吗？,To,99047,FALSE
99047,Narration,乞丐,我从梦中带出了它。,To,99048,
99048,Narration,,可以想到，此刻你脸上有被戏弄了的不满。,To,99049,
99049,Narration,乞丐,我保持着强烈的、清醒的渴望，事情就这样发生了，\n我从我的梦中带出了它，一个纪念物。虽然和本来的样子有些出入。\n我再也没有回去过那个世界。,To,99050,
99050,Mind,,你不确定是否该收下，\n如果这是真的，永夜会对它感兴趣的。\n引起永夜的关注从来不是好事。,To,99051,
99051,Mind,,即使是梦主也无法混淆部分的现实。\n他是特殊的。,To,99052,
99052,Narration,,创造了一个梦中世界的人如何能抵抗成为造物主的诱惑？,To,99053,
99053,Narration,乞丐,我是如此害怕在现实日复一日的磨灭中终有一天将这个花园忘记。\n因此我决定——\n趁我的心还年轻的时候失去它，以此永远地保留我这五百年的回忆。,To,99054,
99054,Mind,,令人钦佩，但也令人遗憾。,To,99055,
